Start Date,Start Time,End Date,End Time,Subject,Location,All day event,Reminder on/off,Show time as,Categories
12/15/21,10:30 AM,12/15/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
12/15/21,03:00 PM,12/15/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
12/16/21,09:15 AM,12/16/21,09:30 AM,"AM Advisement (4F) [Cullen]","https://regis-org.zoom.us/j/8685746767",0,0,2,"SIS Scheduled;ADV401.4F"
12/16/21,03:00 PM,12/16/21,03:10 PM,"PM Advisement (4F) [Cullen]","https://regis-org.zoom.us/j/8685746767",0,0,2,"SIS Scheduled;ADV402.4F"
12/17/21,09:15 AM,12/17/21,09:30 AM,"AM Advisement (4F) [Cullen]","https://regis-org.zoom.us/j/8685746767",0,0,2,"SIS Scheduled;ADV401.4F"
12/17/21,03:00 PM,12/17/21,03:10 PM,"PM Advisement (4F) [Cullen]","https://regis-org.zoom.us/j/8685746767",0,0,2,"SIS Scheduled;ADV402.4F"
12/20/21,09:15 AM,12/20/21,09:30 AM,"AM Advisement (4F) [Cullen]","https://regis-org.zoom.us/j/8685746767",0,0,2,"SIS Scheduled;ADV401.4F"
12/20/21,03:00 PM,12/20/21,03:10 PM,"PM Advisement (4F) [Cullen]","https://regis-org.zoom.us/j/8685746767",0,0,2,"SIS Scheduled;ADV402.4F"
01/03/22,09:15 AM,01/03/22,09:30 AM,"AM Advisement (4F) [Cullen]","https://regis-org.zoom.us/j/8685746767",0,0,2,"SIS Scheduled;ADV401.4F"
01/03/22,03:00 PM,01/03/22,03:10 PM,"PM Advisement (4F) [Cullen]","https://regis-org.zoom.us/j/8685746767",0,0,2,"SIS Scheduled;ADV402.4F"
01/04/22,08:30 AM,01/04/22,09:15 AM,"Faculty Meeting","",0,0,2,"SIS Scheduled;FACULTYMTG"
01/04/22,03:00 PM,01/04/22,03:10 PM,"PM Advisement (4F) [Cullen]","https://regis-org.zoom.us/j/8685746767",0,0,2,"SIS Scheduled;ADV402.4F"
01/05/22,09:15 AM,01/05/22,09:30 AM,"AM Advisement (4F) [Cullen]","https://regis-org.zoom.us/j/8685746767",0,0,2,"SIS Scheduled;ADV401.4F"
01/05/22,03:00 PM,01/05/22,03:10 PM,"PM Advisement (4F) [Cullen]","https://regis-org.zoom.us/j/8685746767",0,0,2,"SIS Scheduled;ADV402.4F"
01/06/22,09:15 AM,01/06/22,09:30 AM,"AM Advisement (4F) [Cullen]","https://regis-org.zoom.us/j/8685746767",0,0,2,"SIS Scheduled;ADV401.4F"
01/06/22,03:00 PM,01/06/22,03:10 PM,"PM Advisement (4F) [Cullen]","https://regis-org.zoom.us/j/8685746767",0,0,2,"SIS Scheduled;ADV402.4F"
01/07/22,09:15 AM,01/07/22,09:30 AM,"AM Advisement (4F) [Cullen]","https://regis-org.zoom.us/j/8685746767",0,0,2,"SIS Scheduled;ADV401.4F"
01/07/22,03:00 PM,01/07/22,03:10 PM,"PM Advisement (4F) [Cullen]","https://regis-org.zoom.us/j/8685746767",0,0,2,"SIS Scheduled;ADV402.4F"
01/11/22,03:00 PM,01/11/22,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
01/12/22,09:15 AM,01/12/22,09:30 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
01/12/22,03:00 PM,01/12/22,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
01/13/22,09:15 AM,01/13/22,09:30 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
01/13/22,03:00 PM,01/13/22,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
01/14/22,09:15 AM,01/14/22,09:30 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
